Etapa 2 - Bilbao / Pico Jano - 180 Km
Salida neutralizada: Bilbao - Km 0.0
31, 11:55:23
51, 11:55:23
62, 11:55:23
10, 11:55:23
22, 11:55:23
40, 11:55:23
42, 11:55:23
30, 11:55:23
50, 11:55:23
52, 11:55:23
12, 11:55:23
11, 11:55:23
21, 11:55:23
32, 11:55:23
20, 11:55:23
60, 11:55:23
61, 11:55:23
Meta volante: Ambasaguas - Km 45.0
62, 13:05:22
51, 13:05:22
31, 13:05:22
11, 13:05:23
12, 13:05:23
32, 13:05:25
40, 13:05:25
10, 13:05:26
60, 13:05:26
21, 13:05:29
20, 13:05:29
61, 13:05:29
50, 13:05:30
42, 13:05:31
22, 13:05:31
30, 13:05:33
52, 13:05:37
Puerto: Alisas (674 m) - Km 77.7 - 2 Categoria
40, 13:48:23
12, 13:48:23
21, 13:48:24
30, 13:48:24
11, 13:48:25
50, 13:48:25
62, 13:48:25
61, 13:48:26
42, 13:48:28
51, 13:48:30
22, 13:48:32
10, 13:48:32
60, 13:48:35
20, 13:48:40
52, 13:48:42
31, 13:48:43
32, 13:48:48
Meta volante: Puente Viesgo - Km 118.0
21, 14:23:00
40, 14:23:00
12, 14:23:01
11, 14:23:01
30, 14:23:02
50, 14:23:03
61, 14:23:03
42, 14:23:05
62, 14:23:05
51, 14:23:07
22, 14:23:07
31, 14:23:08
20, 14:23:09
52, 14:23:10
10, 14:23:11
60, 14:23:12
32, 14:23:17
Puerto: Collada de Brenes (761 m) - Km 146.1 - 1 Categoria
12, 14:51:32
21, 14:51:32
40, 14:51:33
30, 14:51:34
11, 14:51:35
61, 14:51:35
62, 14:51:36
42, 14:51:37
31, 14:51:37
51, 14:51:38
22, 14:51:40
10, 14:51:41
52, 14:51:43
60, 14:51:47
20, 14:51:51
50, 14:51:53
32, 14:51:59
Puerto: Pico Jano (1125 m) - Km 180.0 - 1 Categoria
Meta: Pico Jano - Km 180.0
40, 15:48:23
12, 15:48:25
21, 15:48:27
30, 15:48:29
11, 15:48:32
62, 15:48:35
42, 15:48:41
31, 15:48:41
61, 15:48:42
10, 15:48:46
22, 15:48:47
20, 15:48:49
51, 15:48:49
60, 15:48:51
52, 15:48:52
50, 15:48:55
32, 15:49:05


