Etapa 4 - Elche / Alicante - 31.1 Km - Contrareloj
Salida: Elche - Km 0.0
40, 13:25:00
11, 13:26:00
31, 13:27:00
20, 13:28:00
42, 13:29:00
22, 13:30:00
62, 13:31:00
32, 13:32:00
61, 13:33:00
10, 13:34:00
21, 13:35:00
50, 13:36:00
60, 13:38:00
30, 13:40:00
52, 13:42:00
12, 13:44:00
Meta: Alicante - Km 31.1
40, 13:58:23
11, 13:59:25
31, 14:00:03
42, 14:01:02
20, 14:01:03
22, 14:02:47
62, 14:03:56
32, 14:04:20
61, 14:05:18
10, 14:06:47
21, 14:07:12
50, 14:08:52
60, 14:10:03
30, 14:12:13
52, 14:13:59
12, 14:15:25
